sample_id,sample_name,platform,data_type,data
HH5,HH5,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A1
HH5,HH5,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A1
HH5,HH5,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A1
HH6,HH6,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A2
HH6,HH6,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A2
HH6,HH6,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A2
HH7,HH7,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A3
HH7,HH7,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A3
HH7,HH7,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A3
ss4,ss4,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A4
ss4,ss4,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A4
ss4,ss4,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A4
ss4,ss4,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/220210_A01366_0138_AHW7Y5DRXY/THI2852A4
ss8,ss8,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A5
ss8,ss8,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A5
ss8,ss8,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A5
ss8,ss8,NextSeq_500,ATAC,/camp/home/hamrude/work_dir/raw_data/10x_scATAC_2021/220210_A01366_0138_AHW7Y5DRXY/THI2852A5
