sample_id,sample_name,platform,data_type,data
THI2852A1,HH5,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A1
THI2852A1,HH5,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A1
THI2852A1,HH5,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A1
THI2852A2,HH6,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A2
THI2852A2,HH6,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A2
THI2852A2,HH6,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A2
THI2852A3,HH7,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A3
THI2852A3,HH7,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A3
THI2852A3,HH7,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A3
THI2852A4,ss4,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A4
THI2852A4,ss4,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A4
THI2852A4,ss4,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A4
THI2852A4,ss4,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/220210_A01366_0138_AHW7Y5DRXY/THI2852A4
THI2852A5,ss8,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/210906_A01366_0052_AHGYCLDRXY/THI2852A5
THI2852A5,ss8,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211013_A01366_0067_BH3Y3GDMXY/THI2852A5
THI2852A5,ss8,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/211028_A01366_0074_AH3V2KDMXY/THI2852A5
THI2852A5,ss8,HiSeq_4000,ATAC,/nemo/lab/briscoej/working/thierya/raw_data/10x_scATAC_2021/220210_A01366_0138_AHW7Y5DRXY/THI2852A5
